company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Jul 10, 2024",62.90,63.50,63.20,63.20,62.90,62.60 - 63.90,57.30 - 77.80,476675.00,787,73398.805
Ambee Pharmaceuticals PLC,"Jul 10, 2024",787.00,790.00,785.50,785.50,787.00,782.00 - 793.00,511.00 - 1302.30,6884.00,140,1885.200
British American Tobacco Bangladesh Company Limited,"Jul 10, 2024",338.20,343.70,340.30,340.30,338.20,337.20 - 344.00,315.00 - 518.70,164312.00,2155,183762.000
