company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Jul 15, 2024",61.90,62.00,61.90,61.90,61.90,61.60 - 62.60,57.30 - 77.80,229913.00,505,71889.020
Ambee Pharmaceuticals PLC,"Jul 15, 2024",792.30,787.00,790.60,790.60,792.30,787.00 - 796.40,511.00 - 1302.30,4851.00,148,1897.440
British American Tobacco Bangladesh Company Limited,"Jul 15, 2024",335.70,335.00,334.40,334.40,335.70,334.00 - 339.80,315.00 - 518.70,89389.00,1350,180576.000
