company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Aug 22, 2024",63.60,60.80,62.40,62.40,63.60,60.60 - 64.40,54.90 - 77.80,497211.00,893,72469.706
Ambee Pharmaceuticals PLC,"Aug 22, 2024",878.80,858.00,851.60,851.60,878.80,851.10 - 900.00,632.60 - 1302.30,4283.00,117,2043.840
British American Tobacco Bangladesh Company Limited,"Aug 22, 2024",409.80,382.50,394.30,394.30,409.80,382.50 - 412.00,315.00 - 518.70,574765.00,3554,212922.000
