company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Jul 11, 2024",62.30,63.50,62.90,62.90,62.30,62.10 - 63.50,57.30 - 77.80,545546.00,776,73050.393
Ambee Pharmaceuticals PLC,"Jul 11, 2024",787.10,794.90,787.00,787.00,787.10,782.10 - 794.90,511.00 - 1302.30,2025.00,101,1888.800
British American Tobacco Bangladesh Company Limited,"Jul 11, 2024",334.20,340.00,338.20,338.20,334.20,332.00 - 340.00,315.00 - 518.70,180618.00,2091,182628.000
