company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Aug 13, 2024",65.30,64.90,64.90,64.90,65.30,63.50 - 66.30,54.90 - 77.80,678469.00,1194,75373.140
Ambee Pharmaceuticals PLC,"Aug 13, 2024",833.20,824.00,820.60,820.60,841.90,820.10 - 845.00,610.00 - 1302.30,4433.00,123,1969.440
British American Tobacco Bangladesh Company Limited,"Aug 13, 2024",411.10,416.90,416.90,416.90,411.10,406.50 - 420.00,315.00 - 518.70,406754.00,3779,225126.000
