company_name,date,last_trading_price,opening_price,adjusted_opening_price,yesterday_closing_price,closing_price,days_range,52_weeks_range,day_volume,day_trade,market_capitalization
LafargeHolcim Bangladesh Limited,"Jul 09, 2024",63.20,62.90,62.90,62.90,63.20,62.90 - 63.60,57.30 - 77.80,278604.00,632,73050.393
Ambee Pharmaceuticals PLC,"Jul 09, 2024",785.00,777.00,778.40,778.40,785.50,775.20 - 788.60,511.00 - 1302.30,3614.00,94,1868.160
British American Tobacco Bangladesh Company Limited,"Jul 09, 2024",340.30,345.00,344.80,344.80,340.30,336.90 - 345.00,315.00 - 518.70,311988.00,3525,186192.000
